Type of Food,Food Prepared,Event Type,Food Consumed,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Baked Goods,850,Birthday,650,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,200
Fruits,900,Birthday,720,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,180
Baked Goods,970,Wedding,692,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,278
Dairy Products,950,Birthday,750,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,200
Vegetables,900,Wedding,720,Refrigerated,Regular,Winter,Buffet,Rural,High,180
Fruits,989,Birthday,872,Room Temperature,Regular,Summer,Buffet,Urban,Low,117
Meat,900,Corporate,720,Refrigerated,Regular,Winter,Finger Food,Urban,Low,180
Fruits,900,Wedding,720,Refrigerated,Regular,All Seasons,Buffet,Rural,High,180
Meat,984,Wedding,853,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,131
Dairy Products,874,Wedding,690,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,184
Dairy Products,950,Birthday,750,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,200
Fruits,850,Social Gathering,680,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,170
Fruits,800,Birthday,620,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Dairy Products,900,Corporate,680,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,220
Baked Goods,850,Wedding,650,Room Temperature,Regular,Summer,Finger Food,Rural,High,200
Fruits,900,Corporate,720,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,180
Meat,950,Wedding,750,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Vegetables,893,Wedding,667,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,Low,226
Baked Goods,1000,Corporate,850,Room Temperature,Regular,Summer,Finger Food,Urban,High,150
Meat,800,Wedding,620,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,180
Meat,900,Wedding,700,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,200
Fruits,900,Birthday,720,Room Temperature,Occasional,Winter,Buffet,Rural,High,180
Meat,1000,Corporate,800,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,200
Meat,800,Social Gathering,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Dairy Products,1000,Corporate,800,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Fruits,952,Wedding,842,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,Low,110
Baked Goods,848,Birthday,647,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,201
Baked Goods,900,Birthday,780,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,120
Fruits,900,Wedding,720,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,180
Meat,874,Social Gathering,690,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,184
Fruits,900,Birthday,720,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,180
Vegetables,993,Birthday,838,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,155
Dairy Products,850,Birthday,680,Room Temperature,Regular,Summer,Finger Food,Urban,Low,170
Dairy Products,850,Social Gathering,680,Room Temperature,Regular,Winter,Finger Food,Rural,Low,170
Dairy Products,850,Wedding,680,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,170
Baked Goods,1000,Birthday,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Baked Goods,950,Birthday,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Dairy Products,950,Wedding,750,Room Temperature,Occasional,Summer,Sit-down Dinner,Urban,Moderate,200
Dairy Products,800,Wedding,620,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,180
Dairy Products,900,Corporate,660,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Low,240
Dairy Products,850,Wedding,650,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,200
Baked Goods,978,Social Gathering,812,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,166
Dairy Products,900,Social Gathering,720,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,180
Meat,1000,Corporate,630,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,370
Baked Goods,950,Birthday,750,Room Temperature,Regular,Summer,Finger Food,Suburban,High,200
Baked Goods,871,Corporate,702,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,169
Baked Goods,998,Corporate,888,Room Temperature,Regular,Summer,Finger Food,Suburban,High,110
Vegetables,950,Corporate,750,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,200
Fruits,950,Corporate,710,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,240
Fruits,850,Birthday,680,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,170
Meat,850,Wedding,650,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,200
Meat,1000,Wedding,630,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Low,370
Meat,850,Birthday,650,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,200
Baked Goods,950,Social Gathering,750,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,200
Dairy Products,850,Corporate,680,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,170
Baked Goods,850,Social Gathering,680,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,170
Vegetables,782,Social Gathering,608,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,174
Dairy Products,850,Wedding,650,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,200
Meat,850,Birthday,650,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,200
Fruits,900,Wedding,660,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,240
Meat,900,Social Gathering,700,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,200
Dairy Products,900,Wedding,800,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,100
Baked Goods,1000,Birthday,800,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Meat,950,Social Gathering,750,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,Winter,Finger Food,Rural,High,200
Baked Goods,900,Corporate,720,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,180
Baked Goods,1000,Corporate,800,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Dairy Products,900,Wedding,670,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,230
Dairy Products,800,Wedding,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Dairy Products,850,Birthday,680,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,170
Baked Goods,1000,Wedding,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Vegetables,800,Corporate,620,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,180
Baked Goods,848,Corporate,647,Room Temperature,Occasional,Summer,Finger Food,Suburban,Moderate,201
Fruits,900,Social Gathering,720,Refrigerated,Occasional,Winter,Buffet,Rural,High,180
Dairy Products,900,Birthday,720,Room Temperature,Regular,Summer,Buffet,Rural,High,180
Fruits,1000,Birthday,650,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,350
Dairy Products,900,Corporate,720,Room Temperature,Regular,Winter,Buffet,Urban,High,180
Meat,800,Birthday,620,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,180
Dairy Products,1000,Corporate,800,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Baked Goods,950,Birthday,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Baked Goods,850,Social Gathering,680,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,170
Dairy Products,800,Corporate,620,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,180
Dairy Products,900,Corporate,720,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,180
Baked Goods,848,Corporate,647,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,201
Dairy Products,850,Corporate,680,Room Temperature,Occasional,Winter,Finger Food,Suburban,Moderate,170
Baked Goods,848,Social Gathering,647,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,201
Baked Goods,1000,Wedding,630,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,370
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Baked Goods,950,Social Gathering,620,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,330
Dairy Products,950,Social Gathering,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Dairy Products,850,Social Gathering,680,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,170
Dairy Products,850,Social Gathering,650,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,200
Vegetables,950,Corporate,750,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,200
Baked Goods,950,Social Gathering,750,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Moderate,200
Vegetables,982,Social Gathering,797,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,185
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,200
Dairy Products,850,Birthday,661,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,189
Baked Goods,874,Birthday,690,Room Temperature,Regular,Summer,Finger Food,Rural,Low,184
Vegetables,900,Corporate,700,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,200
Fruits,950,Corporate,750,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Meat,950,Corporate,750,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Moderate,200
Dairy Products,900,Wedding,720,Room Temperature,Regular,All Seasons,Buffet,Urban,High,180
Meat,1000,Wedding,800,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,200
Fruits,1000,Social Gathering,800,Room Temperature,Regular,Summer,Finger Food,Rural,High,200
Meat,980,Social Gathering,780,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,200
Meat,1000,Social Gathering,800,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,200
Meat,950,Social Gathering,750,Room Temperature,Regular,Winter,Finger Food,Suburban,High,200
Dairy Products,950,Corporate,750,Room Temperature,Regular,Winter,Finger Food,Urban,High,200
Fruits,850,Corporate,710,Room Temperature,Occasional,All Seasons,Finger Food,Urban,High,140
Baked Goods,1000,Birthday,850,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,150
Baked Goods,848,Corporate,647,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,201
Meat,1000,Corporate,800,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,200
Baked Goods,800,Wedding,620,Room Temperature,Occasional,Summer,Finger Food,Suburban,High,180
Fruits,850,Social Gathering,650,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,200
Vegetables,900,Social Gathering,700,Room Temperature,Regular,Summer,Finger Food,Rural,Low,200
Fruits,905,Social Gathering,742,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,163
Dairy Products,850,Birthday,680,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,170
Baked Goods,950,Wedding,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Baked Goods,850,Social Gathering,650,Room Temperature,Occasional,Summer,Buffet,Suburban,Low,200
Dairy Products,800,Corporate,620,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,180
Baked Goods,900,Corporate,720,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,180
Vegetables,850,Social Gathering,650,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,200
Dairy Products,950,Corporate,750,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,200
Dairy Products,800,Corporate,620,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,180
Dairy Products,1000,Corporate,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Dairy Products,959,Social Gathering,839,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,120
Dairy Products,900,Wedding,700,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,800,Corporate,620,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,180
Dairy Products,850,Wedding,680,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,170
Baked Goods,800,Social Gathering,620,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,180
Dairy Products,900,Social Gathering,700,Room Temperature,Regular,Summer,Finger Food,Suburban,High,200
Fruits,1000,Social Gathering,630,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,370
Dairy Products,950,Birthday,750,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,950,Social Gathering,800,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,150
Fruits,800,Social Gathering,620,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Baked Goods,900,Social Gathering,700,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,200
Fruits,850,Social Gathering,680,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,170
Fruits,980,Birthday,720,Refrigerated,Regular,Summer,Buffet,Rural,High,260
Meat,800,Wedding,620,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,180
Meat,995,Wedding,834,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,161
Vegetables,989,Corporate,872,Refrigerated,Occasional,Winter,Buffet,Urban,Low,117
Meat,850,Corporate,650,Room Temperature,Regular,Winter,Finger Food,Urban,High,200
Fruits,800,Wedding,620,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,180
Meat,900,Corporate,720,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,180
Vegetables,950,Wedding,750,Refrigerated,Occasional,Summer,Finger Food,Rural,High,200
Meat,900,Corporate,800,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,100
Fruits,980,Corporate,720,Refrigerated,Occasional,All Seasons,Buffet,Suburban,High,260
Vegetables,850,Corporate,680,Refrigerated,Regular,Winter,Buffet,Suburban,Moderate,170
Fruits,970,Birthday,692,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,278
Meat,782,Wedding,608,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,174
Fruits,850,Corporate,650,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,200
Meat,900,Birthday,720,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,180
Meat,900,Corporate,720,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,180
Vegetables,800,Wedding,620,Refrigerated,Occasional,Summer,Finger Food,Rural,Moderate,180
Baked Goods,871,Corporate,702,Room Temperature,Occasional,Winter,Buffet,Suburban,Low,169
Vegetables,850,Social Gathering,650,Refrigerated,Regular,Summer,Buffet,Rural,Moderate,200
Baked Goods,893,Wedding,667,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,226
Fruits,984,Wedding,853,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,131
Vegetables,1000,Social Gathering,800,Room Temperature,Regular,Summer,Buffet,Rural,High,200
Meat,900,Wedding,700,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,200
Baked Goods,800,Wedding,620,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,180
Baked Goods,980,Birthday,700,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,280
Fruits,850,Social Gathering,680,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,170
Dairy Products,874,Corporate,690,Room Temperature,Regular,Winter,Finger Food,Rural,Low,184
Meat,993,Corporate,838,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,155
Baked Goods,950,Birthday,750,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Vegetables,950,Corporate,700,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,250
Baked Goods,900,Corporate,700,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,200
Dairy Products,900,Wedding,700,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Fruits,893,Social Gathering,667,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,226
Fruits,900,Birthday,700,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,200
Meat,905,Social Gathering,742,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,163
Fruits,950,Birthday,750,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,200
Fruits,1000,Social Gathering,800,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,200
Vegetables,800,Corporate,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Vegetables,900,Social Gathering,720,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,180
Dairy Products,997,Birthday,891,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,106
Fruits,850,Wedding,650,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,200
Meat,950,Social Gathering,750,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Dairy Products,800,Social Gathering,620,Room Temperature,Regular,Summer,Finger Food,Rural,Low,180
Baked Goods,980,Social Gathering,780,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,200
Vegetables,850,Wedding,650,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,1000,Wedding,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Dairy Products,900,Corporate,650,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,250
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,200
Baked Goods,950,Wedding,640,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,Low,310
Dairy Products,850,Social Gathering,650,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,200
Dairy Products,984,Corporate,853,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,131
Dairy Products,980,Social Gathering,780,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,200
Baked Goods,1000,Social Gathering,780,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,220
Dairy Products,850,Birthday,650,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Vegetables,800,Social Gathering,620,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Fruits,900,Social Gathering,670,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,230
Dairy Products,900,Social Gathering,680,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,220
Baked Goods,782,Social Gathering,608,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,174
Baked Goods,850,Social Gathering,680,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,170
Dairy Products,905,Social Gathering,742,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,163
Dairy Products,900,Social Gathering,720,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Dairy Products,900,Social Gathering,700,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,200
Dairy Products,850,Social Gathering,710,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,140
Baked Goods,900,Social Gathering,780,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,120
Baked Goods,995,Social Gathering,834,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,161
Meat,943,Wedding,684,Refrigerated,Regular,Summer,Buffet,Urban,Low,259
Meat,850,Wedding,650,Refrigerated,Regular,Summer,Buffet,Urban,Low,200
Meat,980,Wedding,650,Refrigerated,Regular,Summer,Finger Food,Rural,Low,330
Meat,850,Birthday,680,Room Temperature,Regular,Winter,Finger Food,Urban,Low,170
Meat,900,Corporate,700,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,200
Meat,1000,Birthday,800,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,200
Meat,900,Corporate,700,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,200
Meat,950,Corporate,750,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,200
Meat,1000,Corporate,800,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,200
Fruits,850,Corporate,710,Room Temperature,Regular,Summer,Finger Food,Urban,High,140
Meat,850,Wedding,800,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50
Meat,780,Corporate,607,Room Temperature,Regular,Summer,Finger Food,Suburban,High,173
Fruits,1000,Wedding,780,Refrigerated,Occasional,Winter,Sit-down Dinner,Urban,High,220
Meat,871,Social Gathering,702,Room Temperature,Regular,Winter,Buffet,Suburban,Low,169
Dairy Products,850,Corporate,650,Room Temperature,Regular,Winter,Buffet,Urban,Low,200
Baked Goods,850,Birthday,680,Room Temperature,Regular,Winter,Finger Food,Rural,Low,170
Vegetables,950,Birthday,750,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,200
Fruits,800,Wedding,620,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,180
Vegetables,900,Birthday,700,Refrigerated,Occasional,Winter,Finger Food,Suburban,Low,200
Meat,950,Social Gathering,700,Refrigerated,Regular,Summer,Finger Food,Suburban,High,250
Fruits,850,Corporate,650,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,200
Vegetables,950,Wedding,750,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,200
Fruits,982,Wedding,842,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,140
Fruits,950,Wedding,750,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,200
Baked Goods,900,Wedding,700,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,200
Dairy Products,850,Birthday,710,Room Temperature,Regular,Winter,Finger Food,Rural,High,140
Baked Goods,888,Wedding,675,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,213
Fruits,850,Social Gathering,710,Room Temperature,Regular,Winter,Finger Food,Rural,High,140
Baked Goods,800,Birthday,620,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,180
Dairy Products,980,Wedding,780,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,200
Dairy Products,997,Wedding,891,Room Temperature,Occasional,Summer,Finger Food,Rural,High,106
Dairy Products,850,Birthday,650,Room Temperature,Occasional,Winter,Buffet,Rural,Moderate,200
Vegetables,850,Corporate,650,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,200
Fruits,800,Corporate,620,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,180
Fruits,900,Birthday,720,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Fruits,900,Corporate,700,Room Temperature,Occasional,All Seasons,Finger Food,Rural,Moderate,200
Baked Goods,850,Corporate,650,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,200
Meat,900,Social Gathering,700,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,200
Baked Goods,900,Social Gathering,720,Room Temperature,Regular,All Seasons,Buffet,Rural,High,180
Meat,782,Social Gathering,608,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,174
Baked Goods,993,Corporate,838,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,155
Vegetables,850,Social Gathering,680,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,170
Baked Goods,780,Corporate,607,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,173
Vegetables,984,Social Gathering,853,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,131
Baked Goods,980,Social Gathering,780,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,200
Dairy Products,900,Corporate,700,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,200
Vegetables,850,Corporate,680,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,170
Dairy Products,900,Social Gathering,800,Room Temperature,Regular,Summer,Finger Food,Rural,High,100
Dairy Products,850,Corporate,650,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,200
Baked Goods,950,Birthday,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Baked Goods,850,Social Gathering,650,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,200
Dairy Products,850,Corporate,650,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,200
Baked Goods,800,Birthday,620,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Fruits,850,Social Gathering,680,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,170
Vegetables,850,Social Gathering,650,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Moderate,200
Dairy Products,905,Social Gathering,742,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,163
Vegetables,1000,Corporate,800,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,200
Dairy Products,900,Birthday,700,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Dairy Products,997,Social Gathering,891,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,106
Dairy Products,850,Corporate,680,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,170
Dairy Products,1000,Social Gathering,780,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,220
Dairy Products,900,Social Gathering,700,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Dairy Products,1000,Corporate,630,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,370
Baked Goods,900,Social Gathering,700,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,200
Meat,900,Wedding,700,Refrigerated,Regular,Summer,Buffet,Suburban,High,200
Meat,900,Wedding,700,Refrigerated,Regular,Summer,Finger Food,Urban,Low,200
Meat,871,Wedding,702,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,169
Vegetables,989,Birthday,872,Refrigerated,Regular,Summer,Buffet,Urban,Low,117
Meat,900,Corporate,700,Refrigerated,Occasional,Winter,Buffet,Suburban,High,200
Vegetables,850,Wedding,650,Refrigerated,Regular,Winter,Buffet,Suburban,Low,200
Meat,874,Corporate,690,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,184
Meat,995,Corporate,834,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,161
Fruits,850,Corporate,680,Refrigerated,Occasional,Summer,Finger Food,Urban,Low,170
Fruits,1000,Wedding,800,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,200
Meat,950,Wedding,750,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,200
Meat,850,Corporate,650,Room Temperature,Regular,Winter,Finger Food,Suburban,High,200
Vegetables,950,Wedding,750,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,200
Meat,950,Corporate,750,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,200
Vegetables,850,Wedding,680,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,170
Fruits,871,Corporate,702,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,169
Meat,850,Corporate,650,Room Temperature,Regular,Winter,Buffet,Urban,Low,200
Meat,850,Birthday,680,Refrigerated,Regular,Summer,Finger Food,Rural,Low,170
